Restaurant_ID,Location,Cuisine,Cost_for_Two,Rating,Votes,Review_Keywords
REST-1087,Koramangala,Chinese,787,4.3,774,Crowded
REST-1088,Whitefield,Chinese,460,4.0,122,Slow Delivery
REST-1089,Jayanagar,Chinese,200,2.5,48,Bad Service
REST-1090,Indiranagar,North Indian,670,4.2,1187,Crowded
REST-1091,Jayanagar,North Indian,247,3.9,137,Average Experience
REST-1092,Electronic City,Biryani,431,3.6,402,Average Experience
REST-1093,Koramangala,Healthy/Salad,564,4.6,835,Crowded
REST-1094,Electronic City,Biryani,200,3.8,244,Average Experience
REST-1095,Koramangala,Healthy/Salad,860,4.1,209,Average Experience
REST-1096,Electronic City,North Indian,469,4.2,292,Average Experience
REST-1097,Electronic City,Biryani,398,3.8,178,Average Experience
REST-1098,Koramangala,Chinese,487,4.1,222,Average Experience
REST-1099,Whitefield,Biryani,571,3.6,63,Slow Delivery
REST-1100,Indiranagar,South Indian,944,4.2,2700,Crowded
REST-1101,Indiranagar,Chinese,749,3.7,13,Average Experience
REST-1102,Koramangala,Biryani,662,4.9,110,Average Experience
REST-1103,Koramangala,South Indian,1203,3.5,596,Crowded
REST-1104,HSR Layout,Continental,615,3.7,169,Average Experience
REST-1105,Indiranagar,Healthy/Salad,1180,3.6,86,Average Experience
REST-1106,HSR Layout,South Indian,264,4.5,1627,Crowded
REST-1107,Whitefield,Biryani,567,3.1,36,"Bad Service, Slow Delivery"
REST-1108,Indiranagar,Chinese,738,4.6,1411,Crowded
REST-1109,Electronic City,Healthy/Salad,321,2.8,25,Bad Service
REST-1110,HSR Layout,Chinese,758,3.9,449,Searching for Healthy
REST-1111,Jayanagar,Biryani,287,4.7,151,Average Experience
REST-1112,Jayanagar,North Indian,205,2.6,118,Bad Service
REST-1113,Whitefield,Biryani,476,4.1,3558,"Crowded, Slow Delivery"
REST-1114,Koramangala,Biryani,1111,3.6,6,Average Experience
REST-1115,Electronic City,Chinese,210,4.3,143,Average Experience
REST-1116,Indiranagar,Healthy/Salad,1159,4.1,2452,Crowded
REST-1117,Koramangala,Chinese,932,3.2,32,Bad Service
REST-1118,Koramangala,South Indian,633,4.2,214,Average Experience
REST-1119,Jayanagar,Biryani,762,4.4,934,Crowded
REST-1120,Electronic City,Healthy/Salad,441,3.6,350,Average Experience
REST-1121,Indiranagar,Biryani,946,3.7,328,Average Experience
REST-1122,HSR Layout,South Indian,422,4.9,1236,Crowded
REST-1123,Indiranagar,North Indian,460,4.5,4231,Crowded
REST-1124,Indiranagar,Biryani,1151,2.9,53,Bad Service
REST-1125,Koramangala,South Indian,1027,3.8,84,Average Experience
REST-1126,Indiranagar,Chinese,682,4.3,310,Average Experience
REST-1127,Indiranagar,Continental,900,4.6,463,Average Experience
REST-1128,Koramangala,South Indian,1006,3.9,266,Average Experience
REST-1129,Jayanagar,Chinese,424,3.5,92,Average Experience
REST-1130,Koramangala,Continental,999,3.6,9,Average Experience
REST-1131,HSR Layout,Chinese,494,4.2,2247,Crowded
REST-1132,Indiranagar,North Indian,843,3.1,197,Bad Service
REST-1133,Koramangala,Continental,606,3.9,146,Average Experience
REST-1134,HSR Layout,North Indian,433,4.0,262,Oily
REST-1135,Koramangala,South Indian,943,3.5,142,Average Experience
REST-1136,Electronic City,Continental,551,2.9,43,Bad Service
REST-1137,Indiranagar,Chinese,1089,3.7,346,Average Experience
REST-1138,Koramangala,Chinese,816,3.5,152,Average Experience
REST-1139,Koramangala,South Indian,815,4.2,985,Crowded
REST-1140,Koramangala,Continental,1024,3.5,9,Average Experience
REST-1141,Koramangala,Chinese,416,3.6,32,Average Experience
REST-1142,HSR Layout,Chinese,437,3.1,192,Bad Service
REST-1143,Koramangala,Healthy/Salad,1034,4.6,1178,Crowded
REST-1144,Electronic City,Continental,201,3.1,41,Bad Service
REST-1145,HSR Layout,North Indian,200,3.4,638,"Crowded, Bad Service, Oily"
REST-1146,HSR Layout,North Indian,631,3.2,206,"Bad Service, Oily, Searching for Healthy"
REST-1147,Electronic City,Chinese,514,3.8,22,Average Experience
REST-1148,Whitefield,North Indian,214,3.8,30,Slow Delivery
REST-1149,Koramangala,Continental,725,2.9,64,Bad Service
REST-1150,Jayanagar,Chinese,600,4.5,600,Crowded
REST-1151,Koramangala,Healthy/Salad,787,4.0,198,Average Experience
REST-1152,Koramangala,Healthy/Salad,977,3.1,6,Bad Service
REST-1153,Indiranagar,Continental,575,3.6,58,Average Experience
REST-1154,Koramangala,Chinese,1031,3.9,125,Average Experience
REST-1155,Koramangala,North Indian,811,4.5,3171,Crowded
REST-1156,HSR Layout,North Indian,261,3.4,48,"Bad Service, Oily"
REST-1157,Indiranagar,South Indian,341,2.8,9,Bad Service
REST-1158,HSR Layout,Chinese,396,2.9,38,Bad Service
REST-1159,Koramangala,Healthy/Salad,645,4.1,26,Average Experience
REST-1160,Koramangala,Healthy/Salad,719,3.1,2,Bad Service
REST-1161,HSR Layout,North Indian,242,3.3,241,"Bad Service, Oily, Searching for Healthy"
REST-1162,HSR Layout,Chinese,200,4.1,3,Average Experience
REST-1163,Koramangala,Biryani,694,4.6,1591,Crowded
REST-1164,Whitefield,Continental,200,3.9,171,Slow Delivery
REST-1165,Jayanagar,Chinese,290,3.7,29,Average Experience
REST-1166,Whitefield,Chinese,458,3.6,84,Slow Delivery
REST-1167,Jayanagar,Healthy/Salad,436,3.6,78,Average Experience
REST-1168,Indiranagar,North Indian,551,4.0,8,Average Experience
REST-1169,Koramangala,South Indian,685,3.9,252,Average Experience
REST-1170,Indiranagar,South Indian,761,4.5,874,Crowded
REST-1171,Jayanagar,North Indian,509,4.2,1683,Crowded
REST-1172,Koramangala,Continental,1006,3.3,4,Bad Service
REST-1173,Electronic City,North Indian,308,3.8,111,Average Experience
REST-1174,Whitefield,North Indian,526,3.8,33,Slow Delivery
REST-1175,Indiranagar,Healthy/Salad,855,4.3,1164,Crowded
REST-1176,Koramangala,Chinese,951,4.3,300,Average Experience
REST-1177,Koramangala,North Indian,897,3.8,27,Average Experience
REST-1178,Indiranagar,South Indian,946,3.6,452,Average Experience
REST-1179,Electronic City,Chinese,820,3.6,130,Average Experience
REST-1180,Indiranagar,Chinese,638,3.3,82,Bad Service
REST-1181,Indiranagar,Healthy/Salad,719,3.8,111,Average Experience
REST-1182,Electronic City,South Indian,200,4.6,149,Average Experience
REST-1183,Jayanagar,Continental,533,4.1,276,Average Experience
REST-1184,Koramangala,North Indian,822,3.9,169,Average Experience
REST-1185,Koramangala,Biryani,793,3.0,22,Bad Service
REST-1186,Jayanagar,Biryani,254,4.0,167,Average Experience
REST-1187,Koramangala,Chinese,1052,3.5,1,Average Experience
REST-1188,HSR Layout,South Indian,357,3.7,0,Average Experience
REST-1189,Jayanagar,Healthy/Salad,200,4.5,1992,Crowded
REST-1190,Jayanagar,North Indian,248,3.7,49,Average Experience
REST-1191,Koramangala,Chinese,865,3.2,4,Bad Service
REST-1192,Electronic City,Healthy/Salad,382,3.7,36,Average Experience
REST-1193,Indiranagar,Biryani,931,3.2,533,"Crowded, Bad Service"
REST-1194,Koramangala,Biryani,1107,4.3,3054,Crowded
REST-1195,HSR Layout,Healthy/Salad,200,3.6,125,Average Experience
REST-1196,Indiranagar,Biryani,1137,3.7,212,Average Experience
REST-1197,HSR Layout,Chinese,245,3.3,49,Bad Service
REST-1198,Indiranagar,Healthy/Salad,611,3.4,110,Bad Service
REST-1199,Koramangala,Biryani,650,2.7,125,Bad Service
REST-1200,Koramangala,Chinese,660,3.4,176,Bad Service
REST-1201,Whitefield,North Indian,294,3.4,82,"Bad Service, Slow Delivery"
REST-1202,Jayanagar,Biryani,490,3.8,66,Average Experience
REST-1203,Indiranagar,North Indian,1196,4.2,769,Crowded
REST-1204,Whitefield,Healthy/Salad,423,3.5,17,Slow Delivery
REST-1205,Koramangala,Continental,992,3.8,70,Average Experience
REST-1206,Indiranagar,South Indian,652,4.4,125,Average Experience
REST-1207,Electronic City,South Indian,716,3.8,28,Average Experience
REST-1208,Electronic City,Biryani,200,4.1,1175,Crowded
REST-1209,Whitefield,South Indian,696,2.6,81,"Bad Service, Slow Delivery"
REST-1210,Indiranagar,Biryani,576,3.6,64,Average Experience
REST-1211,HSR Layout,North Indian,229,4.1,49,Oily
REST-1212,Koramangala,Healthy/Salad,643,3.2,60,Bad Service
REST-1213,Whitefield,Biryani,269,4.6,422,Slow Delivery
REST-1214,HSR Layout,Chinese,411,4.5,690,Crowded
REST-1215,Koramangala,North Indian,1030,4.8,368,Average Experience
REST-1216,Koramangala,Chinese,940,3.6,12,Average Experience
REST-1217,Electronic City,South Indian,659,3.5,13,Average Experience
REST-1218,Koramangala,South Indian,563,3.4,256,Bad Service
REST-1219,Jayanagar,Healthy/Salad,397,4.5,82,Average Experience
REST-1220,Whitefield,Healthy/Salad,662,3.5,303,Slow Delivery
REST-1221,Indiranagar,Continental,782,3.7,16,Average Experience
REST-1222,Koramangala,Chinese,927,4.9,956,Crowded
REST-1223,Koramangala,Continental,553,4.0,120,Average Experience
REST-1224,Koramangala,Chinese,797,3.5,40,Average Experience
REST-1225,Whitefield,Continental,621,4.7,177,Slow Delivery
REST-1226,Koramangala,North Indian,758,3.8,104,Average Experience
REST-1227,Electronic City,Healthy/Salad,200,3.5,84,Average Experience
REST-1228,Koramangala,Healthy/Salad,731,3.7,30,Average Experience
REST-1229,Koramangala,Healthy/Salad,658,4.6,1461,Crowded
REST-1230,Indiranagar,Chinese,692,3.8,10,Average Experience
REST-1231,Electronic City,Healthy/Salad,319,3.6,147,Average Experience
REST-1232,Koramangala,South Indian,628,4.6,871,Crowded
REST-1233,Whitefield,South Indian,282,4.6,1003,"Crowded, Slow Delivery"
REST-1234,Indiranagar,Biryani,805,4.0,12,Average Experience
REST-1235,Electronic City,South Indian,247,4.1,879,Crowded
REST-1236,Jayanagar,Chinese,271,4.2,124,Average Experience
REST-1237,HSR Layout,Chinese,387,3.9,106,Searching for Healthy
REST-1238,Koramangala,Continental,1101,3.1,85,Bad Service
REST-1239,Koramangala,Chinese,1086,4.0,58,Average Experience
REST-1240,Koramangala,Healthy/Salad,702,3.6,12,Average Experience
REST-1241,HSR Layout,South Indian,200,4.0,210,Average Experience
REST-1242,Whitefield,Chinese,556,3.9,196,Slow Delivery
REST-1243,HSR Layout,Biryani,558,3.2,53,Bad Service
REST-1244,Electronic City,Healthy/Salad,580,4.1,94,Average Experience
REST-1245,HSR Layout,Chinese,557,3.4,172,"Bad Service, Searching for Healthy"
REST-1246,Jayanagar,Biryani,287,3.9,196,Average Experience
REST-1247,Koramangala,South Indian,764,4.3,1741,Crowded
REST-1248,Koramangala,North Indian,1119,3.8,170,Average Experience
REST-1249,Indiranagar,Biryani,557,3.5,256,Average Experience
REST-1250,Whitefield,Chinese,348,3.5,67,Slow Delivery
REST-1251,Electronic City,South Indian,414,3.8,4,Average Experience
REST-1252,Whitefield,Healthy/Salad,584,3.2,31,"Bad Service, Slow Delivery"
REST-1253,Indiranagar,Chinese,468,3.7,174,Average Experience
REST-1254,Jayanagar,Biryani,749,4.7,274,Average Experience
REST-1255,Indiranagar,North Indian,815,4.0,35,Average Experience
REST-1256,Koramangala,Continental,691,2.6,53,Bad Service
REST-1257,Koramangala,Chinese,713,4.0,0,Average Experience
REST-1258,HSR Layout,South Indian,312,4.2,1748,Crowded
REST-1259,Koramangala,Biryani,331,3.6,123,Average Experience
REST-1260,Koramangala,North Indian,477,3.4,48,Bad Service
REST-1261,Koramangala,Chinese,785,4.1,774,Crowded
REST-1262,Electronic City,North Indian,402,4.3,623,Crowded
REST-1263,Electronic City,North Indian,549,4.1,594,Crowded
REST-1264,Koramangala,Continental,686,3.8,59,Average Experience
REST-1265,HSR Layout,Biryani,465,3.6,10,Average Experience
REST-1266,Indiranagar,Healthy/Salad,711,4.0,145,Average Experience
REST-1267,HSR Layout,South Indian,200,3.3,84,Bad Service
REST-1268,HSR Layout,Continental,340,4.1,371,Average Experience
REST-1269,Whitefield,Healthy/Salad,200,4.1,1092,"Crowded, Slow Delivery"
REST-1270,Jayanagar,South Indian,218,3.6,98,Average Experience
REST-1271,Whitefield,Biryani,463,3.4,248,"Bad Service, Slow Delivery"
REST-1272,Indiranagar,Healthy/Salad,1034,4.8,34,Average Experience
REST-1273,Koramangala,Healthy/Salad,873,4.5,56,Average Experience
REST-1274,Koramangala,Chinese,823,4.7,451,Average Experience
REST-1275,Indiranagar,Healthy/Salad,820,4.0,98,Average Experience
REST-1276,Electronic City,North Indian,704,3.8,29,Average Experience
REST-1277,Whitefield,Biryani,666,3.1,50,"Bad Service, Slow Delivery"
REST-1278,HSR Layout,South Indian,585,3.6,8,Average Experience
REST-1279,Koramangala,Biryani,774,3.8,620,Crowded
REST-1280,Indiranagar,Biryani,935,4.1,3286,Crowded
REST-1281,Indiranagar,Biryani,912,3.7,18,Average Experience
REST-1282,Koramangala,North Indian,602,3.1,70,Bad Service
REST-1283,Jayanagar,South Indian,470,3.6,13,Average Experience
REST-1284,Koramangala,Continental,708,4.4,329,Average Experience
REST-1285,Indiranagar,South Indian,481,4.2,893,Crowded
REST-1286,Jayanagar,Continental,369,4.9,459,Average Experience
REST-1287,Koramangala,Healthy/Salad,1075,3.4,57,Bad Service
REST-1288,Indiranagar,Biryani,708,3.8,96,Average Experience
REST-1289,Koramangala,Chinese,1079,3.6,90,Average Experience
REST-1290,Koramangala,South Indian,768,4.5,1902,Crowded
REST-1291,Jayanagar,Chinese,378,3.4,2,Bad Service
REST-1292,HSR Layout,South Indian,529,3.8,221,Average Experience
REST-1293,Indiranagar,Biryani,270,3.6,75,Average Experience
REST-1294,Koramangala,North Indian,1342,3.6,68,Average Experience
REST-1295,Koramangala,Biryani,216,4.7,1500,Crowded
REST-1296,HSR Layout,Chinese,401,3.7,1,Average Experience
REST-1297,Indiranagar,Biryani,634,4.1,2662,Crowded
REST-1298,Whitefield,Biryani,342,4.1,129,Slow Delivery
REST-1299,Jayanagar,Continental,247,3.8,126,Average Experience
REST-1300,Koramangala,Chinese,399,4.5,772,Crowded
REST-1301,Koramangala,Continental,836,3.4,81,Bad Service
REST-1302,HSR Layout,Chinese,281,3.5,229,Searching for Healthy
REST-1303,Koramangala,South Indian,566,3.6,74,Average Experience
REST-1304,Whitefield,Biryani,331,4.2,451,Slow Delivery
REST-1305,HSR Layout,North Indian,249,4.0,48,Oily
REST-1306,Koramangala,Chinese,947,3.9,13,Average Experience
REST-1307,Indiranagar,Biryani,777,3.3,61,Bad Service
REST-1308,Indiranagar,Continental,762,4.1,935,Crowded
REST-1309,Whitefield,North Indian,562,2.6,122,"Bad Service, Slow Delivery"
REST-1310,HSR Layout,North Indian,227,3.8,133,Oily
REST-1311,Koramangala,North Indian,910,4.2,386,Average Experience
REST-1312,HSR Layout,North Indian,448,4.1,37,Oily
REST-1313,Electronic City,Healthy/Salad,549,3.8,44,Average Experience
REST-1314,Koramangala,Chinese,1010,4.3,68,Average Experience
REST-1315,HSR Layout,North Indian,308,3.5,80,Oily
REST-1316,Electronic City,South Indian,257,4.2,3218,Crowded
REST-1317,Koramangala,North Indian,988,3.6,11,Average Experience
REST-1318,Koramangala,North Indian,941,4.3,3696,Crowded
REST-1319,Indiranagar,Continental,694,3.8,5,Average Experience
REST-1320,Indiranagar,Healthy/Salad,858,4.5,856,Crowded
REST-1321,Koramangala,Healthy/Salad,656,4.1,739,Crowded
REST-1322,Jayanagar,Healthy/Salad,200,4.2,424,Average Experience
REST-1323,Whitefield,Chinese,486,4.6,692,"Crowded, Slow Delivery"
REST-1324,Indiranagar,Biryani,658,3.9,1,Average Experience
REST-1325,Jayanagar,Healthy/Salad,528,3.3,242,Bad Service
REST-1326,Indiranagar,North Indian,772,3.7,9,Average Experience
REST-1327,Indiranagar,North Indian,588,3.1,154,Bad Service
REST-1328,Koramangala,Biryani,657,4.2,178,Average Experience
REST-1329,Jayanagar,Healthy/Salad,317,3.3,64,Bad Service
REST-1330,Electronic City,Continental,344,3.3,135,Bad Service
REST-1331,Indiranagar,Healthy/Salad,835,3.7,45,Average Experience
REST-1332,Jayanagar,South Indian,248,3.0,89,Bad Service
REST-1333,Koramangala,Continental,850,3.2,26,Bad Service
REST-1334,Indiranagar,North Indian,964,3.6,28,Average Experience
REST-1335,Electronic City,Healthy/Salad,299,4.5,2158,Crowded
REST-1336,Indiranagar,Biryani,624,3.5,279,Average Experience
REST-1337,Indiranagar,Continental,984,2.9,166,Bad Service
REST-1338,Koramangala,Chinese,912,3.1,81,Bad Service
REST-1339,Jayanagar,Continental,504,4.1,238,Average Experience
REST-1340,Electronic City,Biryani,210,4.5,2634,Crowded
REST-1341,Koramangala,Continental,874,3.2,60,Bad Service
REST-1342,HSR Layout,Biryani,200,3.6,21,Average Experience
REST-1343,Koramangala,Biryani,593,4.2,779,Crowded
REST-1344,Whitefield,South Indian,329,2.9,16,"Bad Service, Slow Delivery"
REST-1345,Jayanagar,Continental,767,3.9,2,Average Experience
REST-1346,Whitefield,South Indian,441,2.7,2,"Bad Service, Slow Delivery"
REST-1347,Indiranagar,Continental,307,3.8,74,Average Experience
REST-1348,Indiranagar,South Indian,899,3.9,51,Average Experience
REST-1349,Whitefield,North Indian,351,4.4,386,Slow Delivery
REST-1350,Koramangala,South Indian,1103,4.4,410,Average Experience
REST-1351,Koramangala,Chinese,1121,4.6,3205,Crowded
REST-1352,HSR Layout,North Indian,534,4.4,3022,"Crowded, Oily"
REST-1353,Electronic City,Chinese,458,4.2,284,Average Experience
REST-1354,Electronic City,North Indian,230,4.6,932,Crowded
REST-1355,Electronic City,Healthy/Salad,449,3.3,8,Bad Service
REST-1356,Jayanagar,North Indian,647,3.6,201,Average Experience
REST-1357,Koramangala,Healthy/Salad,687,3.4,135,Bad Service
REST-1358,Koramangala,Chinese,920,4.0,19,Average Experience
REST-1359,HSR Layout,North Indian,641,3.4,275,"Bad Service, Oily, Searching for Healthy"
REST-1360,Whitefield,Continental,265,3.5,15,Slow Delivery
REST-1361,Jayanagar,North Indian,464,4.5,735,Crowded
REST-1362,Whitefield,North Indian,200,3.8,58,Slow Delivery
REST-1363,Jayanagar,Healthy/Salad,418,4.2,972,Crowded
REST-1364,Koramangala,Continental,1081,3.6,157,Average Experience
REST-1365,Whitefield,North Indian,209,3.1,118,"Bad Service, Slow Delivery"
REST-1366,Whitefield,Chinese,534,4.5,834,"Crowded, Slow Delivery"
REST-1367,Indiranagar,Healthy/Salad,931,3.7,59,Average Experience
REST-1368,Whitefield,Continental,452,4.0,59,Slow Delivery
REST-1369,Indiranagar,Healthy/Salad,756,3.8,2,Average Experience
REST-1370,HSR Layout,Biryani,200,3.1,24,Bad Service
REST-1371,Electronic City,Healthy/Salad,384,3.3,49,Bad Service
REST-1372,Whitefield,North Indian,396,4.7,1001,"Crowded, Slow Delivery"
REST-1373,Whitefield,Healthy/Salad,512,3.9,134,Slow Delivery
REST-1374,Electronic City,Biryani,239,3.8,108,Average Experience
REST-1375,Whitefield,Healthy/Salad,489,3.4,30,"Bad Service, Slow Delivery"
REST-1376,Koramangala,Healthy/Salad,632,3.5,69,Average Experience
REST-1377,Electronic City,North Indian,842,3.3,196,Bad Service
REST-1378,Indiranagar,Healthy/Salad,1007,4.6,1045,Crowded
REST-1379,Whitefield,South Indian,200,3.4,123,"Bad Service, Slow Delivery"
REST-1380,HSR Layout,South Indian,500,4.3,0,Average Experience
REST-1381,Electronic City,Chinese,200,3.9,51,Average Experience
REST-1382,HSR Layout,South Indian,328,4.5,2,Average Experience
REST-1383,Indiranagar,Biryani,686,3.3,230,Bad Service
REST-1384,HSR Layout,Continental,573,3.1,174,Bad Service
REST-1385,Electronic City,Continental,493,3.0,153,Bad Service
REST-1386,Electronic City,South Indian,200,3.8,34,Average Experience
REST-1387,HSR Layout,Healthy/Salad,200,3.5,28,Average Experience
REST-1388,Koramangala,North Indian,493,3.6,180,Average Experience
REST-1389,Indiranagar,South Indian,260,4.0,11,Average Experience
REST-1390,Jayanagar,South Indian,244,4.0,63,Average Experience
REST-1391,Indiranagar,Biryani,928,3.5,14,Average Experience
REST-1392,Jayanagar,Biryani,615,3.8,57,Average Experience
REST-1393,HSR Layout,South Indian,317,4.6,671,Crowded
REST-1394,Indiranagar,South Indian,878,4.0,243,Average Experience
REST-1395,HSR Layout,Chinese,408,4.1,783,Crowded
REST-1396,Indiranagar,Biryani,538,3.6,185,Average Experience
REST-1397,Whitefield,Healthy/Salad,310,4.1,219,Slow Delivery
REST-1398,Electronic City,North Indian,355,4.1,201,Average Experience
REST-1399,HSR Layout,Chinese,278,4.4,3459,Crowded
REST-1400,Indiranagar,South Indian,1030,4.2,12,Average Experience
REST-1401,Koramangala,Healthy/Salad,1094,3.4,71,Bad Service
REST-1402,Electronic City,Healthy/Salad,200,3.1,140,Bad Service
REST-1403,Electronic City,Healthy/Salad,200,3.7,39,Average Experience
REST-1404,Koramangala,Healthy/Salad,560,4.4,258,Average Experience
REST-1405,Koramangala,Chinese,644,3.3,49,Bad Service
REST-1406,Koramangala,Continental,558,4.8,1223,Crowded
REST-1407,Electronic City,Chinese,383,4.4,1988,Crowded
REST-1408,HSR Layout,North Indian,419,3.3,0,"Bad Service, Oily"
REST-1409,Koramangala,South Indian,604,3.4,204,Bad Service
REST-1410,Koramangala,Biryani,984,3.6,70,Average Experience
REST-1411,Koramangala,Continental,492,3.4,17,Bad Service
REST-1412,Indiranagar,South Indian,740,4.3,312,Average Experience
REST-1413,Indiranagar,North Indian,1091,4.4,1495,Crowded
REST-1414,Whitefield,North Indian,583,3.0,63,"Bad Service, Slow Delivery"
REST-1415,Koramangala,Chinese,729,3.2,3,Bad Service
REST-1416,Whitefield,Continental,275,3.0,86,"Bad Service, Slow Delivery"
REST-1417,HSR Layout,Healthy/Salad,517,3.8,11,Average Experience
REST-1418,Koramangala,Healthy/Salad,919,4.7,1373,Crowded
REST-1419,Electronic City,South Indian,640,2.9,79,Bad Service
REST-1420,Koramangala,South Indian,675,3.5,44,Average Experience
